age,year,value,sex,type
0,1961,12047,Male,deaths
1,1961,785,Male,deaths
2,1961,484,Male,deaths
3,1961,305,Male,deaths
4,1961,261,Male,deaths
5,1961,218,Male,deaths
6,1961,209,Male,deaths
7,1961,193,Male,deaths
8,1961,161,Male,deaths
9,1961,177,Male,deaths
10,1961,134,Male,deaths
11,1961,154,Male,deaths
12,1961,171,Male,deaths
13,1961,183,Male,deaths
14,1961,221,Male,deaths
15,1961,217,Male,deaths
16,1961,309,Male,deaths
17,1961,413,Male,deaths
18,1961,399,Male,deaths
19,1961,374,Male,deaths
20,1961,395,Male,deaths
21,1961,357,Male,deaths
22,1961,397,Male,deaths
23,1961,349,Male,deaths
24,1961,335,Male,deaths
25,1961,334,Male,deaths
26,1961,367,Male,deaths
27,1961,347,Male,deaths
28,1961,349,Male,deaths
29,1961,357,Male,deaths
30,1961,435,Male,deaths
31,1961,394,Male,deaths
32,1961,432,Male,deaths
33,1961,442,Male,deaths
34,1961,490,Male,deaths
35,1961,604,Male,deaths
36,1961,606,Male,deaths
37,1961,675,Male,deaths
38,1961,750,Male,deaths
39,1961,872,Male,deaths
40,1961,1022,Male,deaths
41,1961,1111,Male,deaths
42,1961,972,Male,deaths
43,1961,990,Male,deaths
44,1961,1198,Male,deaths
45,1961,1488,Male,deaths
46,1961,1648,Male,deaths
47,1961,1941,Male,deaths
48,1961,2117,Male,deaths
49,1961,2455,Male,deaths
50,1961,2644,Male,deaths
51,1961,2977,Male,deaths
52,1961,3415,Male,deaths
53,1961,3822,Male,deaths
54,1961,4051,Male,deaths
55,1961,4378,Male,deaths
56,1961,5126,Male,deaths
57,1961,5454,Male,deaths
58,1961,6064,Male,deaths
59,1961,6380,Male,deaths
60,1961,7020,Male,deaths
61,1961,7267,Male,deaths
62,1961,6998,Male,deaths
63,1961,7359,Male,deaths
64,1961,7544,Male,deaths
65,1961,7743,Male,deaths
66,1961,7900,Male,deaths
67,1961,8540,Male,deaths
68,1961,8682,Male,deaths
69,1961,8879,Male,deaths
70,1961,8869,Male,deaths
71,1961,8981,Male,deaths
72,1961,9451,Male,deaths
73,1961,9648,Male,deaths
74,1961,9721,Male,deaths
75,1961,9767,Male,deaths
76,1961,9965,Male,deaths
77,1961,9290,Male,deaths
78,1961,9017,Male,deaths
79,1961,8914,Male,deaths
80,1961,8501,Male,deaths
81,1961,8024,Male,deaths
82,1961,7419,Male,deaths
83,1961,6939,Male,deaths
84,1961,6535,Male,deaths
85,1961,5581,Male,deaths
86,1961,5014,Male,deaths
87,1961,4065,Male,deaths
88,1961,3278,Male,deaths
89,1961,2605,Male,deaths
90,1961,1963,Male,deaths
91,1961,1410,Male,deaths
92,1961,1055,Male,deaths
93,1961,761,Male,deaths
94,1961,507,Male,deaths
95,1961,325,Male,deaths
96,1961,235,Male,deaths
97,1961,127,Male,deaths
98,1961,63,Male,deaths
99,1961,38,Male,deaths
100,1961,39,Male,deaths
101,1961,16,Male,deaths
102,1961,12,Male,deaths
103,1961,4,Male,deaths
104,1961,2,Male,deaths
0,1962,12707,Male,deaths
1,1962,727,Male,deaths
2,1962,423,Male,deaths
3,1962,300,Male,deaths
4,1962,258,Male,deaths
5,1962,217,Male,deaths
6,1962,202,Male,deaths
7,1962,187,Male,deaths
8,1962,148,Male,deaths
9,1962,151,Male,deaths
10,1962,141,Male,deaths
11,1962,159,Male,deaths
12,1962,158,Male,deaths
13,1962,205,Male,deaths
14,1962,230,Male,deaths
15,1962,276,Male,deaths
16,1962,301,Male,deaths
17,1962,396,Male,deaths
18,1962,449,Male,deaths
19,1962,424,Male,deaths
20,1962,386,Male,deaths
21,1962,337,Male,deaths
22,1962,381,Male,deaths
23,1962,365,Male,deaths
24,1962,358,Male,deaths
25,1962,340,Male,deaths
26,1962,305,Male,deaths
27,1962,301,Male,deaths
28,1962,314,Male,deaths
29,1962,373,Male,deaths
30,1962,376,Male,deaths
31,1962,385,Male,deaths
32,1962,402,Male,deaths
33,1962,430,Male,deaths
34,1962,491,Male,deaths
35,1962,545,Male,deaths
36,1962,583,Male,deaths
37,1962,647,Male,deaths
38,1962,766,Male,deaths
39,1962,874,Male,deaths
40,1962,983,Male,deaths
41,1962,1106,Male,deaths
42,1962,1303,Male,deaths
43,1962,974,Male,deaths
44,1962,1077,Male,deaths
45,1962,1385,Male,deaths
46,1962,1579,Male,deaths
47,1962,1947,Male,deaths
48,1962,2166,Male,deaths
49,1962,2301,Male,deaths
50,1962,2609,Male,deaths
51,1962,3017,Male,deaths
52,1962,3433,Male,deaths
53,1962,3743,Male,deaths
54,1962,4097,Male,deaths
55,1962,4498,Male,deaths
56,1962,5061,Male,deaths
57,1962,5651,Male,deaths
58,1962,6005,Male,deaths
59,1962,6562,Male,deaths
60,1962,6720,Male,deaths
61,1962,7450,Male,deaths
62,1962,7817,Male,deaths
63,1962,7599,Male,deaths
64,1962,7779,Male,deaths
65,1962,7985,Male,deaths
66,1962,7782,Male,deaths
67,1962,8704,Male,deaths
68,1962,8697,Male,deaths
69,1962,9201,Male,deaths
70,1962,9098,Male,deaths
71,1962,9146,Male,deaths
72,1962,9766,Male,deaths
73,1962,9591,Male,deaths
74,1962,9852,Male,deaths
75,1962,9515,Male,deaths
76,1962,9549,Male,deaths
77,1962,9455,Male,deaths
78,1962,9160,Male,deaths
79,1962,8831,Male,deaths
80,1962,8440,Male,deaths
81,1962,7873,Male,deaths
82,1962,7814,Male,deaths
83,1962,6937,Male,deaths
84,1962,6616,Male,deaths
85,1962,5775,Male,deaths
86,1962,5087,Male,deaths
87,1962,4360,Male,deaths
88,1962,3188,Male,deaths
89,1962,2631,Male,deaths
90,1962,1965,Male,deaths
91,1962,1504,Male,deaths
92,1962,1178,Male,deaths
93,1962,771,Male,deaths
94,1962,540,Male,deaths
95,1962,352,Male,deaths
96,1962,235,Male,deaths
97,1962,131,Male,deaths
98,1962,70,Male,deaths
99,1962,41,Male,deaths
100,1962,24,Male,deaths
101,1962,14,Male,deaths
102,1962,3,Male,deaths
103,1962,6,Male,deaths
104,1962,2,Male,deaths
0,1963,12408,Male,deaths
1,1963,788,Male,deaths
2,1963,437,Male,deaths
3,1963,324,Male,deaths
4,1963,297,Male,deaths
5,1963,235,Male,deaths
6,1963,223,Male,deaths
7,1963,205,Male,deaths
8,1963,182,Male,deaths
9,1963,175,Male,deaths
10,1963,170,Male,deaths
11,1963,130,Male,deaths
12,1963,151,Male,deaths
13,1963,166,Male,deaths
14,1963,196,Male,deaths
15,1963,241,Male,deaths
16,1963,375,Male,deaths
17,1963,372,Male,deaths
18,1963,434,Male,deaths
19,1963,453,Male,deaths
20,1963,439,Male,deaths
21,1963,392,Male,deaths
22,1963,347,Male,deaths
23,1963,342,Male,deaths
24,1963,368,Male,deaths
25,1963,324,Male,deaths
26,1963,363,Male,deaths
27,1963,343,Male,deaths
28,1963,344,Male,deaths
29,1963,351,Male,deaths
30,1963,359,Male,deaths
31,1963,382,Male,deaths
32,1963,448,Male,deaths
33,1963,434,Male,deaths
34,1963,480,Male,deaths
35,1963,524,Male,deaths
36,1963,559,Male,deaths
37,1963,697,Male,deaths
38,1963,733,Male,deaths
39,1963,809,Male,deaths
40,1963,964,Male,deaths
41,1963,1031,Male,deaths
42,1963,1362,Male,deaths
43,1963,1402,Male,deaths
44,1963,1149,Male,deaths
45,1963,1269,Male,deaths
46,1963,1453,Male,deaths
47,1963,1922,Male,deaths
48,1963,2156,Male,deaths
49,1963,2400,Male,deaths
50,1963,2792,Male,deaths
51,1963,2924,Male,deaths
52,1963,3415,Male,deaths
53,1963,3742,Male,deaths
54,1963,4220,Male,deaths
55,1963,4607,Male,deaths
56,1963,5151,Male,deaths
57,1963,5683,Male,deaths
58,1963,6133,Male,deaths
59,1963,6866,Male,deaths
60,1963,7102,Male,deaths
61,1963,7205,Male,deaths
62,1963,8353,Male,deaths
63,1963,8419,Male,deaths
64,1963,8322,Male,deaths
65,1963,8359,Male,deaths
66,1963,8239,Male,deaths
67,1963,8680,Male,deaths
68,1963,9101,Male,deaths
69,1963,9182,Male,deaths
70,1963,9500,Male,deaths
71,1963,9227,Male,deaths
72,1963,9832,Male,deaths
73,1963,9956,Male,deaths
74,1963,9979,Male,deaths
75,1963,9743,Male,deaths
76,1963,9804,Male,deaths
77,1963,9607,Male,deaths
78,1963,9627,Male,deaths
79,1963,9075,Male,deaths
80,1963,8481,Male,deaths
81,1963,8118,Male,deaths
82,1963,8171,Male,deaths
83,1963,7372,Male,deaths
84,1963,6527,Male,deaths
85,1963,5746,Male,deaths
86,1963,5230,Male,deaths
87,1963,4441,Male,deaths
88,1963,3635,Male,deaths
89,1963,2918,Male,deaths
90,1963,2110,Male,deaths
91,1963,1590,Male,deaths
92,1963,1228,Male,deaths
93,1963,822,Male,deaths
94,1963,564,Male,deaths
95,1963,378,Male,deaths
96,1963,242,Male,deaths
97,1963,124,Male,deaths
98,1963,84,Male,deaths
99,1963,52,Male,deaths
100,1963,23,Male,deaths
101,1963,17,Male,deaths
102,1963,8,Male,deaths
103,1963,2,Male,deaths
104,1963,4,Male,deaths
0,1964,11989,Male,deaths
1,1964,684,Male,deaths
2,1964,406,Male,deaths
3,1964,289,Male,deaths
4,1964,262,Male,deaths
5,1964,247,Male,deaths
6,1964,196,Male,deaths
7,1964,187,Male,deaths
8,1964,163,Male,deaths
9,1964,161,Male,deaths
10,1964,139,Male,deaths
11,1964,143,Male,deaths
12,1964,155,Male,deaths
13,1964,167,Male,deaths
14,1964,200,Male,deaths
15,1964,229,Male,deaths
16,1964,400,Male,deaths
17,1964,524,Male,deaths
18,1964,463,Male,deaths
19,1964,474,Male,deaths
20,1964,438,Male,deaths
21,1964,422,Male,deaths
22,1964,345,Male,deaths
23,1964,364,Male,deaths
24,1964,344,Male,deaths
25,1964,368,Male,deaths
26,1964,329,Male,deaths
27,1964,325,Male,deaths
28,1964,360,Male,deaths
29,1964,343,Male,deaths
30,1964,359,Male,deaths
31,1964,382,Male,deaths
32,1964,409,Male,deaths
33,1964,444,Male,deaths
34,1964,470,Male,deaths
35,1964,512,Male,deaths
36,1964,591,Male,deaths
37,1964,634,Male,deaths
38,1964,751,Male,deaths
39,1964,835,Male,deaths
40,1964,912,Male,deaths
41,1964,1009,Male,deaths
42,1964,1189,Male,deaths
43,1964,1358,Male,deaths
44,1964,1532,Male,deaths
45,1964,1279,Male,deaths
46,1964,1379,Male,deaths
47,1964,1718,Male,deaths
48,1964,1850,Male,deaths
49,1964,2421,Male,deaths
50,1964,2657,Male,deaths
51,1964,2841,Male,deaths
52,1964,3328,Male,deaths
53,1964,3645,Male,deaths
54,1964,4095,Male,deaths
55,1964,4454,Male,deaths
56,1964,4942,Male,deaths
57,1964,5386,Male,deaths
58,1964,6000,Male,deaths
59,1964,6414,Male,deaths
60,1964,6733,Male,deaths
61,1964,7023,Male,deaths
62,1964,7820,Male,deaths
63,1964,8413,Male,deaths
64,1964,8661,Male,deaths
65,1964,8164,Male,deaths
66,1964,7846,Male,deaths
67,1964,8438,Male,deaths
68,1964,8459,Male,deaths
69,1964,8746,Male,deaths
70,1964,8763,Male,deaths
71,1964,8774,Male,deaths
72,1964,9244,Male,deaths
73,1964,9195,Male,deaths
74,1964,9309,Male,deaths
75,1964,9085,Male,deaths
76,1964,9059,Male,deaths
77,1964,8638,Male,deaths
78,1964,8660,Male,deaths
79,1964,8324,Male,deaths
80,1964,7710,Male,deaths
81,1964,7120,Male,deaths
82,1964,7024,Male,deaths
83,1964,6390,Male,deaths
84,1964,6064,Male,deaths
85,1964,5177,Male,deaths
86,1964,4610,Male,deaths
87,1964,3812,Male,deaths
88,1964,3177,Male,deaths
89,1964,2613,Male,deaths
90,1964,1915,Male,deaths
91,1964,1370,Male,deaths
92,1964,1087,Male,deaths
93,1964,789,Male,deaths
94,1964,523,Male,deaths
95,1964,344,Male,deaths
96,1964,234,Male,deaths
97,1964,141,Male,deaths
98,1964,102,Male,deaths
99,1964,58,Male,deaths
100,1964,22,Male,deaths
101,1964,11,Male,deaths
102,1964,8,Male,deaths
103,1964,3,Male,deaths
104,1964,2,Male,deaths
0,1965,11325,Male,deaths
1,1965,671,Male,deaths
2,1965,407,Male,deaths
3,1965,354,Male,deaths
4,1965,280,Male,deaths
5,1965,255,Male,deaths
6,1965,230,Male,deaths
7,1965,202,Male,deaths
8,1965,183,Male,deaths
9,1965,170,Male,deaths
10,1965,153,Male,deaths
11,1965,145,Male,deaths
12,1965,163,Male,deaths
13,1965,182,Male,deaths
14,1965,178,Male,deaths
15,1965,235,Male,deaths
16,1965,369,Male,deaths
17,1965,524,Male,deaths
18,1965,567,Male,deaths
19,1965,442,Male,deaths
20,1965,421,Male,deaths
21,1965,404,Male,deaths
22,1965,374,Male,deaths
23,1965,345,Male,deaths
24,1965,354,Male,deaths
25,1965,345,Male,deaths
26,1965,340,Male,deaths
27,1965,341,Male,deaths
28,1965,349,Male,deaths
29,1965,363,Male,deaths
30,1965,372,Male,deaths
31,1965,338,Male,deaths
32,1965,405,Male,deaths
33,1965,412,Male,deaths
34,1965,478,Male,deaths
35,1965,535,Male,deaths
36,1965,603,Male,deaths
37,1965,630,Male,deaths
38,1965,716,Male,deaths
39,1965,771,Male,deaths
40,1965,879,Male,deaths
41,1965,1052,Male,deaths
42,1965,1157,Male,deaths
43,1965,1322,Male,deaths
44,1965,1520,Male,deaths
45,1965,1739,Male,deaths
46,1965,1436,Male,deaths
47,1965,1493,Male,deaths
48,1965,1877,Male,deaths
49,1965,2212,Male,deaths
50,1965,2599,Male,deaths
51,1965,2992,Male,deaths
52,1965,3292,Male,deaths
53,1965,3616,Male,deaths
54,1965,4184,Male,deaths
55,1965,4412,Male,deaths
56,1965,4926,Male,deaths
57,1965,5413,Male,deaths
58,1965,5914,Male,deaths
59,1965,6411,Male,deaths
60,1965,6996,Male,deaths
61,1965,7271,Male,deaths
62,1965,8247,Male,deaths
63,1965,8251,Male,deaths
64,1965,9089,Male,deaths
65,1965,9146,Male,deaths
66,1965,8405,Male,deaths
67,1965,8828,Male,deaths
68,1965,8901,Male,deaths
69,1965,9006,Male,deaths
70,1965,9012,Male,deaths
71,1965,8979,Male,deaths
72,1965,9623,Male,deaths
73,1965,9499,Male,deaths
74,1965,9587,Male,deaths
75,1965,9229,Male,deaths
76,1965,9228,Male,deaths
77,1965,8907,Male,deaths
78,1965,8917,Male,deaths
79,1965,8512,Male,deaths
80,1965,8136,Male,deaths
81,1965,7370,Male,deaths
82,1965,7141,Male,deaths
83,1965,6612,Male,deaths
84,1965,6231,Male,deaths
85,1965,5299,Male,deaths
86,1965,4687,Male,deaths
87,1965,4019,Male,deaths
88,1965,3355,Male,deaths
89,1965,2793,Male,deaths
90,1965,2151,Male,deaths
91,1965,1600,Male,deaths
92,1965,1256,Male,deaths
93,1965,828,Male,deaths
94,1965,583,Male,deaths
95,1965,379,Male,deaths
96,1965,266,Male,deaths
97,1965,165,Male,deaths
98,1965,90,Male,deaths
99,1965,46,Male,deaths
100,1965,35,Male,deaths
101,1965,19,Male,deaths
102,1965,7,Male,deaths
103,1965,4,Male,deaths
104,1965,1,Male,deaths
0,1966,11105,Male,deaths
1,1966,726,Male,deaths
2,1966,471,Male,deaths
3,1966,350,Male,deaths
4,1966,305,Male,deaths
5,1966,258,Male,deaths
6,1966,203,Male,deaths
7,1966,164,Male,deaths
8,1966,193,Male,deaths
9,1966,169,Male,deaths
10,1966,140,Male,deaths
11,1966,153,Male,deaths
12,1966,163,Male,deaths
13,1966,171,Male,deaths
14,1966,193,Male,deaths
15,1966,227,Male,deaths
16,1966,429,Male,deaths
17,1966,480,Male,deaths
18,1966,535,Male,deaths
19,1966,597,Male,deaths
20,1966,433,Male,deaths
21,1966,404,Male,deaths
22,1966,432,Male,deaths
23,1966,384,Male,deaths
24,1966,336,Male,deaths
25,1966,299,Male,deaths
26,1966,343,Male,deaths
27,1966,325,Male,deaths
28,1966,331,Male,deaths
29,1966,393,Male,deaths
30,1966,353,Male,deaths
31,1966,402,Male,deaths
32,1966,372,Male,deaths
33,1966,418,Male,deaths
34,1966,473,Male,deaths
35,1966,539,Male,deaths
36,1966,571,Male,deaths
37,1966,566,Male,deaths
38,1966,709,Male,deaths
39,1966,779,Male,deaths
40,1966,885,Male,deaths
41,1966,964,Male,deaths
42,1966,1158,Male,deaths
43,1966,1258,Male,deaths
44,1966,1422,Male,deaths
45,1966,1724,Male,deaths
46,1966,1917,Male,deaths
47,1966,1645,Male,deaths
48,1966,1656,Male,deaths
49,1966,2058,Male,deaths
50,1966,2484,Male,deaths
51,1966,2805,Male,deaths
52,1966,3351,Male,deaths
53,1966,3725,Male,deaths
54,1966,4029,Male,deaths
55,1966,4332,Male,deaths
56,1966,4856,Male,deaths
57,1966,5465,Male,deaths
58,1966,6201,Male,deaths
59,1966,6423,Male,deaths
60,1966,6875,Male,deaths
61,1966,7292,Male,deaths
62,1966,8100,Male,deaths
63,1966,8587,Male,deaths
64,1966,9121,Male,deaths
65,1966,9307,Male,deaths
66,1966,9487,Male,deaths
67,1966,9154,Male,deaths
68,1966,9132,Male,deaths
69,1966,9256,Male,deaths
70,1966,9170,Male,deaths
71,1966,9257,Male,deaths
72,1966,9676,Male,deaths
73,1966,9868,Male,deaths
74,1966,9755,Male,deaths
75,1966,9636,Male,deaths
76,1966,9437,Male,deaths
77,1966,9129,Male,deaths
78,1966,8855,Male,deaths
79,1966,8716,Male,deaths
80,1966,8126,Male,deaths
81,1966,7761,Male,deaths
82,1966,7428,Male,deaths
83,1966,6743,Male,deaths
84,1966,6281,Male,deaths
85,1966,5537,Male,deaths
86,1966,5016,Male,deaths
87,1966,4296,Male,deaths
88,1966,3357,Male,deaths
89,1966,2965,Male,deaths
90,1966,2314,Male,deaths
91,1966,1772,Male,deaths
92,1966,1350,Male,deaths
93,1966,983,Male,deaths
94,1966,634,Male,deaths
95,1966,438,Male,deaths
96,1966,293,Male,deaths
97,1966,160,Male,deaths
98,1966,124,Male,deaths
99,1966,57,Male,deaths
100,1966,23,Male,deaths
101,1966,17,Male,deaths
102,1966,12,Male,deaths
103,1966,1,Male,deaths
104,1966,2,Male,deaths
0,1967,10254,Male,deaths
1,1967,649,Male,deaths
2,1967,435,Male,deaths
3,1967,340,Male,deaths
4,1967,266,Male,deaths
5,1967,251,Male,deaths
6,1967,212,Male,deaths
7,1967,185,Male,deaths
8,1967,192,Male,deaths
9,1967,165,Male,deaths
10,1967,185,Male,deaths
11,1967,135,Male,deaths
12,1967,148,Male,deaths
13,1967,178,Male,deaths
14,1967,202,Male,deaths
15,1967,221,Male,deaths
16,1967,345,Male,deaths
17,1967,423,Male,deaths
18,1967,475,Male,deaths
19,1967,503,Male,deaths
20,1967,513,Male,deaths
21,1967,415,Male,deaths
22,1967,365,Male,deaths
23,1967,351,Male,deaths
24,1967,332,Male,deaths
25,1967,352,Male,deaths
26,1967,346,Male,deaths
27,1967,326,Male,deaths
28,1967,320,Male,deaths
29,1967,286,Male,deaths
30,1967,376,Male,deaths
31,1967,361,Male,deaths
32,1967,361,Male,deaths
33,1967,380,Male,deaths
34,1967,411,Male,deaths
35,1967,468,Male,deaths
36,1967,542,Male,deaths
37,1967,544,Male,deaths
38,1967,660,Male,deaths
39,1967,728,Male,deaths
40,1967,824,Male,deaths
41,1967,922,Male,deaths
42,1967,1065,Male,deaths
43,1967,1187,Male,deaths
44,1967,1313,Male,deaths
45,1967,1571,Male,deaths
46,1967,1889,Male,deaths
47,1967,2117,Male,deaths
48,1967,1716,Male,deaths
49,1967,1788,Male,deaths
50,1967,2212,Male,deaths
51,1967,2518,Male,deaths
52,1967,3064,Male,deaths
53,1967,3445,Male,deaths
54,1967,3832,Male,deaths
55,1967,4138,Male,deaths
56,1967,4767,Male,deaths
57,1967,5167,Male,deaths
58,1967,5745,Male,deaths
59,1967,6466,Male,deaths
60,1967,6590,Male,deaths
61,1967,7040,Male,deaths
62,1967,7649,Male,deaths
63,1967,8243,Male,deaths
64,1967,8878,Male,deaths
65,1967,8998,Male,deaths
66,1967,9281,Male,deaths
67,1967,9744,Male,deaths
68,1967,8982,Male,deaths
69,1967,9140,Male,deaths
70,1967,9146,Male,deaths
71,1967,8848,Male,deaths
72,1967,9345,Male,deaths
73,1967,9343,Male,deaths
74,1967,9406,Male,deaths
75,1967,9054,Male,deaths
76,1967,8985,Male,deaths
77,1967,8623,Male,deaths
78,1967,8418,Male,deaths
79,1967,8214,Male,deaths
80,1967,7714,Male,deaths
81,1967,7265,Male,deaths
82,1967,6771,Male,deaths
83,1967,6362,Male,deaths
84,1967,5838,Male,deaths
85,1967,5181,Male,deaths
86,1967,4658,Male,deaths
87,1967,4013,Male,deaths
88,1967,3293,Male,deaths
89,1967,2720,Male,deaths
90,1967,2166,Male,deaths
91,1967,1603,Male,deaths
92,1967,1293,Male,deaths
93,1967,919,Male,deaths
94,1967,677,Male,deaths
95,1967,414,Male,deaths
96,1967,280,Male,deaths
97,1967,180,Male,deaths
98,1967,104,Male,deaths
99,1967,61,Male,deaths
100,1967,42,Male,deaths
101,1967,17,Male,deaths
102,1967,10,Male,deaths
103,1967,4,Male,deaths
104,1967,2,Male,deaths
0,1968,10319,Male,deaths
1,1968,644,Male,deaths
2,1968,439,Male,deaths
3,1968,381,Male,deaths
4,1968,289,Male,deaths
5,1968,259,Male,deaths
6,1968,230,Male,deaths
7,1968,196,Male,deaths
8,1968,153,Male,deaths
9,1968,192,Male,deaths
10,1968,142,Male,deaths
11,1968,158,Male,deaths
12,1968,154,Male,deaths
13,1968,143,Male,deaths
14,1968,210,Male,deaths
15,1968,228,Male,deaths
16,1968,335,Male,deaths
17,1968,405,Male,deaths
18,1968,410,Male,deaths
19,1968,410,Male,deaths
20,1968,433,Male,deaths
21,1968,479,Male,deaths
22,1968,367,Male,deaths
23,1968,355,Male,deaths
24,1968,340,Male,deaths
25,1968,311,Male,deaths
26,1968,309,Male,deaths
27,1968,301,Male,deaths
28,1968,313,Male,deaths
29,1968,342,Male,deaths
30,1968,307,Male,deaths
31,1968,354,Male,deaths
32,1968,374,Male,deaths
33,1968,354,Male,deaths
34,1968,421,Male,deaths
35,1968,413,Male,deaths
36,1968,503,Male,deaths
37,1968,559,Male,deaths
38,1968,660,Male,deaths
39,1968,700,Male,deaths
40,1968,793,Male,deaths
41,1968,888,Male,deaths
42,1968,1105,Male,deaths
43,1968,1257,Male,deaths
44,1968,1342,Male,deaths
45,1968,1448,Male,deaths
46,1968,1767,Male,deaths
47,1968,2111,Male,deaths
48,1968,2322,Male,deaths
49,1968,1920,Male,deaths
50,1968,1965,Male,deaths
51,1968,2504,Male,deaths
52,1968,2997,Male,deaths
53,1968,3548,Male,deaths
54,1968,3899,Male,deaths
55,1968,4293,Male,deaths
56,1968,4624,Male,deaths
57,1968,5354,Male,deaths
58,1968,5955,Male,deaths
59,1968,6525,Male,deaths
60,1968,6927,Male,deaths
61,1968,7172,Male,deaths
62,1968,7927,Male,deaths
63,1968,8494,Male,deaths
64,1968,9110,Male,deaths
65,1968,9502,Male,deaths
66,1968,9690,Male,deaths
67,1968,10465,Male,deaths
68,1968,10192,Male,deaths
69,1968,9897,Male,deaths
70,1968,9699,Male,deaths
71,1968,9641,Male,deaths
72,1968,9933,Male,deaths
73,1968,10020,Male,deaths
74,1968,9898,Male,deaths
75,1968,10069,Male,deaths
76,1968,9859,Male,deaths
77,1968,9409,Male,deaths
78,1968,9220,Male,deaths
79,1968,8787,Male,deaths
80,1968,8514,Male,deaths
81,1968,7498,Male,deaths
82,1968,7442,Male,deaths
83,1968,6885,Male,deaths
84,1968,6406,Male,deaths
85,1968,5482,Male,deaths
86,1968,5040,Male,deaths
87,1968,4364,Male,deaths
88,1968,3784,Male,deaths
89,1968,2941,Male,deaths
90,1968,2329,Male,deaths
91,1968,1909,Male,deaths
92,1968,1413,Male,deaths
93,1968,1025,Male,deaths
94,1968,785,Male,deaths
95,1968,538,Male,deaths
96,1968,340,Male,deaths
97,1968,214,Male,deaths
98,1968,110,Male,deaths
99,1968,68,Male,deaths
100,1968,38,Male,deaths
101,1968,29,Male,deaths
102,1968,10,Male,deaths
103,1968,6,Male,deaths
104,1968,2,Male,deaths
0,1969,9894,Male,deaths
1,1969,644,Male,deaths
2,1969,453,Male,deaths
3,1969,311,Male,deaths
4,1969,305,Male,deaths
5,1969,265,Male,deaths
6,1969,204,Male,deaths
7,1969,214,Male,deaths
8,1969,167,Male,deaths
9,1969,148,Male,deaths
10,1969,155,Male,deaths
11,1969,139,Male,deaths
12,1969,148,Male,deaths
13,1969,178,Male,deaths
14,1969,180,Male,deaths
15,1969,201,Male,deaths
16,1969,325,Male,deaths
17,1969,409,Male,deaths
18,1969,455,Male,deaths
19,1969,418,Male,deaths
20,1969,385,Male,deaths
21,1969,453,Male,deaths
22,1969,454,Male,deaths
23,1969,345,Male,deaths
24,1969,362,Male,deaths
25,1969,373,Male,deaths
26,1969,349,Male,deaths
27,1969,310,Male,deaths
28,1969,292,Male,deaths
29,1969,345,Male,deaths
30,1969,365,Male,deaths
31,1969,346,Male,deaths
32,1969,381,Male,deaths
33,1969,384,Male,deaths
34,1969,450,Male,deaths
35,1969,451,Male,deaths
36,1969,476,Male,deaths
37,1969,531,Male,deaths
38,1969,636,Male,deaths
39,1969,689,Male,deaths
40,1969,850,Male,deaths
41,1969,945,Male,deaths
42,1969,985,Male,deaths
43,1969,1187,Male,deaths
44,1969,1366,Male,deaths
45,1969,1575,Male,deaths
46,1969,1785,Male,deaths
47,1969,2019,Male,deaths
48,1969,2461,Male,deaths
49,1969,2795,Male,deaths
50,1969,2169,Male,deaths
51,1969,2254,Male,deaths
52,1969,2754,Male,deaths
53,1969,3336,Male,deaths
54,1969,4019,Male,deaths
55,1969,4405,Male,deaths
56,1969,4961,Male,deaths
57,1969,5197,Male,deaths
58,1969,5916,Male,deaths
59,1969,6438,Male,deaths
60,1969,7143,Male,deaths
61,1969,7572,Male,deaths
62,1969,8249,Male,deaths
63,1969,8753,Male,deaths
64,1969,9631,Male,deaths
65,1969,9924,Male,deaths
66,1969,10107,Male,deaths
67,1969,10658,Male,deaths
68,1969,11040,Male,deaths
69,1969,11142,Male,deaths
70,1969,10465,Male,deaths
71,1969,10072,Male,deaths
72,1969,10289,Male,deaths
73,1969,10178,Male,deaths
74,1969,10344,Male,deaths
75,1969,9918,Male,deaths
76,1969,9913,Male,deaths
77,1969,9240,Male,deaths
78,1969,9057,Male,deaths
79,1969,8533,Male,deaths
80,1969,8203,Male,deaths
81,1969,7663,Male,deaths
82,1969,7114,Male,deaths
83,1969,6520,Male,deaths
84,1969,6164,Male,deaths
85,1969,5356,Male,deaths
86,1969,4680,Male,deaths
87,1969,4012,Male,deaths
88,1969,3470,Male,deaths
89,1969,2862,Male,deaths
90,1969,2237,Male,deaths
91,1969,1798,Male,deaths
92,1969,1431,Male,deaths
93,1969,1010,Male,deaths
94,1969,728,Male,deaths
95,1969,473,Male,deaths
96,1969,336,Male,deaths
97,1969,201,Male,deaths
98,1969,134,Male,deaths
99,1969,70,Male,deaths
100,1969,52,Male,deaths
101,1969,25,Male,deaths
102,1969,12,Male,deaths
103,1969,9,Male,deaths
104,1969,1,Male,deaths
0,1970,9713,Male,deaths
1,1970,590,Male,deaths
2,1970,394,Male,deaths
3,1970,314,Male,deaths
4,1970,258,Male,deaths
5,1970,218,Male,deaths
6,1970,241,Male,deaths
7,1970,208,Male,deaths
8,1970,149,Male,deaths
9,1970,162,Male,deaths
10,1970,169,Male,deaths
11,1970,146,Male,deaths
12,1970,151,Male,deaths
13,1970,149,Male,deaths
14,1970,158,Male,deaths
15,1970,209,Male,deaths
16,1970,348,Male,deaths
17,1970,402,Male,deaths
18,1970,400,Male,deaths
19,1970,393,Male,deaths
